Nomor Rekening,recency,frequency,consistency,avg_interval,std_interval,avg_berat,trend_berat,days_active,churn
BSLH0001,0.0,54.0,0.5714,9.47,5.06,2.0833,0.0019,527.0,0
BSLH0002,2.0,58.0,0.7353,8.79,5.75,0.6666,0.0093,526.0,0
BSLH0003,33.0,35.0,0.125,14.0,24.41,1.0286,-0.0218,494.0,1
BSLH0004,0.0,59.0,0.875,8.57,5.89,1.0237,-0.019,527.0,0
BSLH0005,3.0,77.0,1.0,6.26,6.25,1.7065,-0.028,509.0,1
BSLH0006,7.0,60.0,0.6944,8.36,5.87,2.0267,0.008,520.0,0
BSLH0007,21.0,64.0,0.8571,7.56,4.69,0.8744,-0.0172,506.0,0
BSLH0008,0.0,95.0,1.0426,5.15,3.63,0.8442,0.0018,527.0,0
BSLH0009,2.0,62.0,1.1724,8.15,5.6,0.6355,-0.0123,525.0,0
BSLH0010,2.0,84.0,0.8085,5.89,2.97,2.17,0.0084,525.0,0
BSLH0011,2.0,75.0,0.9,6.62,3.67,1.4947,0.0244,525.0,0
BSLH0012,2.0,64.0,1.1667,7.92,4.43,0.6566,-0.0191,525.0,0
BSLH0013,2.0,74.0,1.2059,6.71,3.56,0.6662,0.0046,525.0,0
BSLH0014,2.0,62.0,1.0323,8.13,3.61,0.5963,-0.0041,525.0,0
BSLH0015,2.0,87.0,0.76,5.67,4.16,1.0901,-0.0068,525.0,0
BSLH0016,2.0,76.0,0.878,6.53,3.43,1.57,0.0051,525.0,0
BSLH0017,2.0,63.0,1.2069,8.05,4.56,0.4675,0.0019,525.0,0
BSLH0018,0.0,90.0,1.1667,5.44,2.78,1.9138,0.061,527.0,0
BSLH0019,2.0,88.0,0.78,5.64,4.68,0.7375,-0.0053,525.0,0
BSLH0020,21.0,44.0,0.5,11.23,7.01,1.3295,-0.0116,506.0,0
BSLH0021,14.0,39.0,0.6,13.11,10.68,3.4103,-0.0712,513.0,0
BSLH0022,0.0,66.0,0.8611,7.68,6.39,3.3929,-0.0083,527.0,0
BSLH0023,2.0,46.0,0.88,11.24,5.94,0.7548,-0.0002,525.0,0
BSLH0024,2.0,50.0,0.7586,10.33,7.95,2.0024,0.0213,525.0,0
BSLH0025,16.0,42.0,0.72,11.98,8.02,1.1952,0.0413,511.0,0
BSLH0026,2.0,43.0,1.4444,11.98,7.56,0.3281,-0.0002,525.0,0
BSLH0027,2.0,51.0,1.2609,10.08,5.4,0.3461,-0.0107,525.0,0
BSLH0028,73.0,19.0,1.5,5.28,7.9,21.7,2.2586,97.0,1
BSLH0029,2.0,73.0,1.0556,6.83,4.27,1.3096,0.0028,525.0,0
